group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,project,note
Foundations,Session 1,2026-04-14,2026-04-20,"Course introduction, data types, R and RStudio",,2026-04-20 23:59,content/01-content,,example/01-example,assignment/01-exercise,,
Foundations,Session 2,2026-04-21,2026-04-27,"R basics 1: Vectors, data frames, lists, basic scripts",,2026-04-27 23:59,content/02-content,,example/02-example,assignment/02-exercise,,
Foundations,Session 3,2026-04-28,2026-05-04,R basics 2: Data visualisation,,2026-05-04 23:59,content/03-content,,example/03-example,assignment/03-exercise,,
Core concepts,Session 4,2026-05-12,2026-05-18,Sampling and probability,,2026-05-18 23:59,content/04-content,,example/04-example,assignment/04-exercise,project/02-ps,
Core concepts,Session 5,2026-05-19,2026-05-25,Visualising probability,,2026-05-25 23:59,content/05-content,,example/05-example,assignment/05-exercise,,
Core concepts,Session 6,2026-05-26,2026-06-01,Manipulating data 1: Data project intro,,2026-06-01 23:59,content/06-content,,example/06-example,assignment/06-exercise,project/03-ps,
Core concepts,Session 7,2026-06-02,2026-06-08,Manipulating data 2,,2026-06-08 23:59,content/07-content,,example/07-example,assignment/07-exercise,,
Core concepts,Session 8,2026-06-09,2026-06-15,Variable associations 1,,2026-06-15 23:59,content/08-content,,example/08-example,assignment/08-exercise,project/04-ps,
Core concepts,Session 9,2026-06-16,2026-06-22,Variable associations 2,,2026-06-22 23:59,content/09-content,,example/09-example,assignment/09-exercise,,
Advanced topics,Session 10,2026-06-23,2026-06-29,Regression modelling 1,,2026-06-29 23:59,content/10-content,,example/10-example,assignment/10-exercise,project/05-ps,
Advanced topics,Session 11,2026-06-30,2026-07-06,Regression modelling 2,,2026-07-06 23:59,content/11-content,,example/11-example,assignment/11-exercise,project/06-ps,
Advanced topics,Session 12,2026-07-07,2026-07-13,Text as data,,2026-07-13 23:59,content/12-content,,example/12-example,assignment/12-exercise,,
Project,Session 13,2026-07-14,2026-07-14,Data project completion and course review,,,,,,,,project/final-project,
