state,state_abb,region,division
West Virginia,WV,South,South Atlantic
Florida,FL,South,South Atlantic
Illinois,IL,Midwest,East North Central
Minnesota,MN,Midwest,West North Central
Maryland,MD,South,South Atlantic
Rhode Island,RI,Northeast,New England
Idaho,ID,West,Mountain
New Hampshire,NH,Northeast,New England
North Carolina,NC,South,South Atlantic
Vermont,VT,Northeast,New England
Connecticut,CT,Northeast,New England
Delaware,DE,South,South Atlantic
New Mexico,NM,West,Mountain
California,CA,West,Pacific
New Jersey,NJ,Northeast,Middle Atlantic
Wisconsin,WI,Midwest,East North Central
Oregon,OR,West,Pacific
Nebraska,NE,Midwest,West North Central
Pennsylvania,PA,Northeast,Middle Atlantic
Washington,WA,West,Pacific
Louisiana,LA,South,West South Central
Georgia,GA,South,South Atlantic
Alabama,AL,South,East South Central
Utah,UT,West,Mountain
Ohio,OH,Midwest,East North Central
Texas,TX,South,West South Central
Colorado,CO,West,Mountain
South Carolina,SC,South,South Atlantic
Oklahoma,OK,South,West South Central
Tennessee,TN,South,East South Central
Wyoming,WY,West,Mountain
Hawaii,HI,West,Pacific
North Dakota,ND,Midwest,West North Central
Kentucky,KY,South,East South Central
United States Virgin Islands,VI,NA,NA
Commonwealth of the Northern Mariana Islands,MP,NA,NA
Guam,GU,NA,NA
Maine,ME,Northeast,New England
New York,NY,Northeast,Middle Atlantic
Nevada,NV,West,Mountain
Alaska,AK,West,Pacific
American Samoa,AS,NA,NA
Michigan,MI,Midwest,East North Central
Arkansas,AR,South,West South Central
Mississippi,MS,South,East South Central
Missouri,MO,Midwest,West North Central
Montana,MT,West,Mountain
Kansas,KS,Midwest,West North Central
Indiana,IN,Midwest,East North Central
Puerto Rico,PR,NA,NA
South Dakota,SD,Midwest,West North Central
Massachusetts,MA,Northeast,New England
Virginia,VA,South,South Atlantic
District of Columbia,DC,South,South Atlantic
Iowa,IA,Midwest,West North Central
Arizona,AZ,West,Mountain
