geoid,county,state_po,year,polling_places,period,population,prop_high_poverty,prop_hispanic_latino,prop_2more,prop_aian,prop_asian,prop_black,prop_nhpi,prop_other,prop_white
01001,Autauga County,AL,2012,19,Before,55036,32.1,2.67,1.64,0.31,0.94,18.93,0.02,0.08,75.42
01001,Autauga County,AL,2018,19,After,55036,32.1,2.67,1.64,0.31,0.94,18.93,0.02,0.08,75.42
01003,Baldwin County,AL,2012,46,Before,203360,30.38,4.44,1.43,0.75,0.69,9.46,0,0.16,83.08
01003,Baldwin County,AL,2018,49,After,203360,30.38,4.44,1.43,0.75,0.69,9.46,0,0.16,83.08
01005,Barbour County,AL,2012,17,Before,26201,54.26,4.21,0.8,0.18,0.58,47.81,0,0.67,45.74
01005,Barbour County,AL,2018,16,After,26201,54.26,4.21,0.8,0.18,0.58,47.81,0,0.67,45.74
01007,Bibb County,AL,2012,8,Before,22580,38.36,2.35,0.7,0.36,0,21.96,0,0,74.62
01007,Bibb County,AL,2018,8,After,22580,38.36,2.35,0.7,0.36,0,21.96,0,0,74.62
01009,Blount County,AL,2012,24,Before,57667,38.09,9.01,1.4,0.33,0.15,1.52,0,0.22,87.37
01009,Blount County,AL,2018,24,After,57667,38.09,9.01,1.4,0.33,0.15,1.52,0,0.22,87.37
01011,Bullock County,AL,2014,15,Before,10478,48.4,0.33,0.66,1.05,0.7,75.63,0,0.02,21.61
01011,Bullock County,AL,2018,15,After,10478,48.4,0.33,0.66,1.05,0.7,75.63,0,0.02,21.61
01013,Butler County,AL,2014,22,Before,20126,48.85,0.32,1.48,0.06,1.11,44.71,0,0.07,52.25
01013,Butler County,AL,2018,21,After,20126,48.85,0.32,1.48,0.06,1.11,44.71,0,0.07,52.25
01015,Calhoun County,AL,2012,48,Before,115527,41.24,3.57,2.1,0.18,0.99,20.39,0.01,0.04,72.72
01015,Calhoun County,AL,2018,44,After,115527,41.24,3.57,2.1,0.18,0.99,20.39,0.01,0.04,72.72
01017,Chambers County,AL,2012,21,Before,33895,45.91,2.15,0.99,0.28,1,39.34,0,0.05,56.19
01017,Chambers County,AL,2018,20,After,33895,45.91,2.15,0.99,0.28,1,39.34,0,0.05,56.19
01019,Cherokee County,AL,2012,23,Before,25855,42.29,1.58,1.04,0.48,0.13,4.98,0,0,91.78
